BASEPARTNUMBER,PLANTCODE,PROCESSLOCATION1,RCMID,PACKRANKNAME,PACKTYPECODE,CONTAINERQUANTITY,CONTAINERPERPALLET,PARTWEIGHT,TDPVERSION,PERPACKDUNNAGEPIECES,PACKLENGTH,PACKWIDTH,PACKHEIGHT,PACKEMPTYWEIGHT,CONTAINERSPERPALLET,QUANTITYPERCONTAINER,TOOLINGNUMBER,CELLDIMLENGTH,CELLDIMWIDTH,CELLDIMHEIGHT,OVERALLPACKLENGTH,OVERALLPACKWIDTH,OVERALLPACKHEIGHT,OVERALLPACKWEIGHT,PALLETWEIGHT,TRAILERSTACKING
00X3102A 9000,MAP,21042006,XX,D,XX,40,1,0.3000,1,0,NULL,NULL,NULL,NULL,1,40,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,NULL
00X31AXM A000,MAP,19275701,XX,D,XX,1,1,NULL,1,0,NULL,NULL,NULL,NULL,1,1,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,NULL
00X31XMA 6200,MAP,19275701,XX,D,XX,1,1,NULL,1,0,NULL,NULL,NULL,NULL,1,1,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,NULL
00X3CTVA A000,MAP,21042006,C2,C,C2,5,4,3.6005,1,1,23.62,22.18,7.25,9.6,4,5,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
00X3CTVA A100,MAP,21042006,C2,C,C2,5,4,0.9180,1,1,23.62,22.18,7.25,9.6,4,15,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
00X3CTVA A200,MAP,21042006,C2,C,C2,15,4,0.8830,1,1,23.62,22.18,7.25,9.6,4,15,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
00X3CTVA A400,MAP,21042006,C2,C,C2,15,4,0.5010,1,1,23.62,22.18,7.25,9.6,4,15,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
00X3CTVA A600,MAP,21042006,C2,C,C2,15,4,1.0250,1,1,23.62,22.18,7.25,9.6,4,15,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
00X3CTVA A700,MAP,21042006,C2,C,C2,15,4,1.0200,1,1,23.62,22.18,7.25,9.6,4,15,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
00X3CTVA A800,MAP,21042006,C2,C,C2,15,4,0.9830,1,1,23.62,22.18,7.25,9.6,4,15,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
00X3CTVA A900,MAP,21042006,C2,C,C2,15,4,0.6350,1,1,23.62,22.18,7.25,9.6,4,15,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
00X3CTVA B000,MAP,21042006,C2,C,C2,15,4,0.6800,1,1,23.62,22.18,7.25,9.6,4,15,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
00X3CTVA B100,MAP,21042006,C2,C,C2,15,4,0.6000,1,1,23.62,22.18,7.25,9.6,4,15,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
00X3CTVA B200,MAP,21042006,C2,C,C2,15,4,1.1440,1,1,23.62,22.18,7.25,9.6,4,15,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
